% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1337,0,2,"[0.0, 47.33]",47.33,47.33,
0,1337,1,4,"[49.48, 7.88]",49.48,49.48,
0,1337,2,6,"[3.33, 18.95]",18.95,49.48,
0,1337,3,8,"[5.65, 0.0]",5.65,49.48,
0,1337,4,10,"[3.04, 44.47]",44.47,49.48,
0,1337,5,12,"[13.02, 0.0]",13.02,49.48,
0,1337,6,14,"[78.93, 49.57]",78.93,78.93,
0,1337,7,16,"[0.89, 68.17]",68.17,78.93,
0,1337,8,18,"[37.37, 31.43]",37.37,78.93,
0,1337,9,20,"[7.54, 23.8]",23.8,78.93,
0,1338,0,2,"[13.71, 99.81]",99.81,99.81,
0,1338,1,4,"[22.3, 0.0]",22.3,99.81,
0,1338,2,6,"[52.08, 19.99]",52.08,99.81,
0,1338,3,8,"[0.0, 9.96]",9.96,99.81,
0,1338,4,10,"[31.66, 44.47]",44.47,99.81,
0,1338,5,12,"[85.21, 28.9]",85.21,99.81,
0,1338,6,14,"[6.48, 7.88]",7.88,99.81,
0,1338,7,16,"[5.95, 11.91]",11.91,99.81,
0,1338,8,18,"[53.11, 71.81]",71.81,99.81,
0,1338,9,20,"[5.65, 92.19]",92.19,99.81,
0,1339,0,2,"[0.0, 45.73]",45.73,45.73,
0,1339,1,4,"[68.17, 27.41]",68.17,68.17,
0,1339,2,6,"[0.0, 13.12]",13.12,68.17,
0,1339,3,8,"[0.97, 44.4]",44.4,68.17,
0,1339,4,10,"[71.81, 14.29]",71.81,71.81,
0,1339,5,12,"[80.86, 7.54]",80.86,80.86,
0,1339,6,14,"[99.22, 19.99]",99.22,99.22,
0,1339,7,16,"[98.38, 18.61]",98.38,99.22,
0,1339,8,18,"[99.81, 91.19]",99.81,99.81,
0,1339,9,20,"[92.19, 60.29]",92.19,99.81,
0,1340,0,2,"[10.49, 0.6]",10.49,10.49,
0,1340,1,4,"[13.79, 60.29]",60.29,60.29,
0,1340,2,6,"[19.99, 11.99]",19.99,60.29,
0,1340,3,8,"[61.67, 19.13]",61.67,61.67,
0,1340,4,10,"[0.0, 0.0]",0.0,61.67,
0,1340,5,12,"[5.95, 6.73]",6.73,61.67,
0,1340,6,14,"[52.47, 8.61]",52.47,61.67,
0,1340,7,16,"[76.24, 62.33]",76.24,76.24,
0,1340,8,18,"[48.91, 6.23]",48.91,76.24,
0,1340,9,20,"[0.0, 45.73]",45.73,76.24,
0,1341,0,2,"[0.0, 84.49]",84.49,84.49,
0,1341,1,4,"[0.0, 6.73]",6.73,84.49,
0,1341,2,6,"[74.3, 9.96]",74.3,84.49,
0,1341,3,8,"[11.91, 18.26]",18.26,84.49,
0,1341,4,10,"[0.0, 53.02]",53.02,84.49,
0,1341,5,12,"[68.17, 30.17]",68.17,84.49,
0,1341,6,14,"[5.65, 68.31]",68.31,84.49,
0,1341,7,16,"[11.83, 70.8]",70.8,84.49,
0,1341,8,18,"[7.43, 48.34]",48.34,84.49,
0,1341,9,20,"[14.29, 19.13]",19.13,84.49,
0,1342,0,2,"[11.83, 38.53]",38.53,38.53,
0,1342,1,4,"[22.3, 0.0]",22.3,38.53,
0,1342,2,6,"[52.08, 80.86]",80.86,80.86,
0,1342,3,8,"[92.19, 0.0]",92.19,92.19,
0,1342,4,10,"[98.38, 19.13]",98.38,98.38,
0,1342,5,12,"[5.95, 43.84]",43.84,98.38,
0,1342,6,14,"[99.81, 49.48]",99.81,99.81,
0,1342,7,16,"[45.01, 80.65]",80.65,99.81,
0,1342,8,18,"[0.0, 24.11]",24.11,99.81,
0,1342,9,20,"[99.22, 5.65]",99.22,99.81,
0,1343,0,2,"[4.92, 0.0]",4.92,4.92,
0,1343,1,4,"[68.17, 16.91]",68.17,68.17,
0,1343,2,6,"[0.0, 34.6]",34.6,68.17,
0,1343,3,8,"[52.08, 49.48]",52.08,68.17,
0,1343,4,10,"[31.66, 31.43]",31.66,68.17,
0,1343,5,12,"[3.04, 53.02]",53.02,68.17,
0,1343,6,14,"[39.57, 14.29]",39.57,68.17,
0,1343,7,16,"[32.21, 99.22]",99.22,99.22,
0,1343,8,18,"[92.19, 62.33]",92.19,99.22,
0,1343,9,20,"[98.38, 43.84]",98.38,99.22,
0,1344,0,2,"[0.0, 52.69]",52.69,52.69,
0,1344,1,4,"[13.88, 6.77]",13.88,52.69,
0,1344,2,6,"[13.12, 18.95]",18.95,52.69,
0,1344,3,8,"[29.45, 13.79]",29.45,52.69,
0,1344,4,10,"[31.66, 49.48]",49.48,52.69,
0,1344,5,12,"[53.11, 36.73]",53.11,53.11,
0,1344,6,14,"[99.81, 52.2]",99.81,99.81,
0,1344,7,16,"[98.38, 45.01]",98.38,99.81,
0,1344,8,18,"[28.9, 99.22]",99.22,99.81,
0,1344,9,20,"[92.19, 60.29]",92.19,99.81,
0,1345,0,2,"[4.87, 84.67]",84.67,84.67,
0,1345,1,4,"[0.0, 0.0]",0.0,84.67,
0,1345,2,6,"[37.38, 78.93]",78.93,84.67,
0,1345,3,8,"[10.13, 0.89]",10.13,84.67,
0,1345,4,10,"[11.91, 58.4]",58.4,84.67,
0,1345,5,12,"[0.0, 5.22]",5.22,84.67,
0,1345,6,14,"[49.48, 21.09]",49.48,84.67,
0,1345,7,16,"[22.3, 80.65]",80.65,84.67,
0,1345,8,18,"[99.81, 7.54]",99.81,99.81,
0,1345,9,20,"[98.38, 61.09]",98.38,99.81,
0,1346,0,2,"[52.47, 3.33]",52.47,52.47,
0,1346,1,4,"[25.64, 6.73]",25.64,52.47,
0,1346,2,6,"[2.78, 0.0]",2.78,52.47,
0,1346,3,8,"[19.99, 13.12]",19.99,52.47,
0,1346,4,10,"[22.65, 91.19]",91.19,91.19,
0,1346,5,12,"[60.29, 19.13]",60.29,91.19,
0,1346,6,14,"[0.0, 0.0]",0.0,91.19,
0,1346,7,16,"[7.43, 99.22]",99.22,99.22,
0,1346,8,18,"[98.38, 43.84]",98.38,99.22,
0,1346,9,20,"[99.81, 74.3]",99.81,99.81,
0,1347,0,2,"[44.4, 17.16]",44.4,44.4,
0,1347,1,4,"[52.08, 0.0]",52.08,52.08,
0,1347,2,6,"[2.53, 20.72]",20.72,52.08,
0,1347,3,8,"[3.04, 10.04]",10.04,52.08,
0,1347,4,10,"[68.17, 0.97]",68.17,68.17,
0,1347,5,12,"[92.19, 14.29]",92.19,92.19,
0,1347,6,14,"[99.22, 26.69]",99.22,99.22,
0,1347,7,16,"[98.38, 32.21]",98.38,99.22,
0,1347,8,18,"[28.9, 99.81]",99.81,99.81,
0,1347,9,20,"[0.89, 0.51]",0.89,99.81,
0,1348,0,2,"[96.38, 0.0]",96.38,96.38,
0,1348,1,4,"[3.33, 5.68]",5.68,96.38,
0,1348,2,6,"[98.38, 5.7]",98.38,98.38,
0,1348,3,8,"[84.03, 52.47]",84.03,98.38,
0,1348,4,10,"[28.9, 32.21]",32.21,98.38,
0,1348,5,12,"[71.81, 19.13]",71.81,98.38,
0,1348,6,14,"[0.0, 80.86]",80.86,98.38,
0,1348,7,16,"[25.77, 63.2]",63.2,98.38,
0,1348,8,18,"[99.22, 52.23]",99.22,99.22,
0,1348,9,20,"[92.19, 99.98]",99.98,99.98,
0,1349,0,2,"[4.3, 24.02]",24.02,24.02,
0,1349,1,4,"[44.4, 7.88]",44.4,44.4,
0,1349,2,6,"[0.0, 21.09]",21.09,44.4,
0,1349,3,8,"[5.7, 18.95]",18.95,44.4,
0,1349,4,10,"[16.91, 18.93]",18.93,44.4,
0,1349,5,12,"[31.66, 7.54]",31.66,44.4,
0,1349,6,14,"[0.0, 0.0]",0.0,44.4,
0,1349,7,16,"[78.93, 19.13]",78.93,78.93,
0,1349,8,18,"[71.11, 79.1]",79.1,79.1,
0,1349,9,20,"[58.4, 7.54]",58.4,79.1,
0,1350,0,2,"[0.0, 11.68]",11.68,11.68,
0,1350,1,4,"[52.2, 68.31]",68.31,68.31,
0,1350,2,6,"[3.33, 11.99]",11.99,68.31,
0,1350,3,8,"[12.07, 25.67]",25.67,68.31,
0,1350,4,10,"[25.64, 0.0]",25.64,68.31,
0,1350,5,12,"[25.67, 23.57]",25.67,68.31,
0,1350,6,14,"[2.53, 13.79]",13.79,68.31,
0,1350,7,16,"[0.0, 19.13]",19.13,68.31,
0,1350,8,18,"[68.17, 0.0]",68.17,68.31,
0,1350,9,20,"[78.93, 31.66]",78.93,78.93,
0,1351,0,2,"[0.22, 0.0]",0.22,0.22,
0,1351,1,4,"[0.0, 6.77]",6.77,6.77,
0,1351,2,6,"[85.21, 40.04]",85.21,85.21,
0,1351,3,8,"[5.95, 52.08]",52.08,85.21,
0,1351,4,10,"[5.65, 20.72]",20.72,85.21,
0,1351,5,12,"[28.9, 10.04]",28.9,85.21,
0,1351,6,14,"[11.91, 51.83]",51.83,85.21,
0,1351,7,16,"[0.0, 3.04]",3.04,85.21,
0,1351,8,18,"[32.21, 8.61]",32.21,85.21,
0,1351,9,20,"[68.17, 62.33]",68.17,85.21,
0,1352,0,2,"[43.84, 14.72]",43.84,43.84,
0,1352,1,4,"[80.65, 18.95]",80.65,80.65,
0,1352,2,6,"[0.74, 20.51]",20.51,80.65,
0,1352,3,8,"[36.73, 26.69]",36.73,80.65,
0,1352,4,10,"[0.0, 60.29]",60.29,80.65,
0,1352,5,12,"[80.86, 9.79]",80.86,80.86,
0,1352,6,14,"[3.04, 99.98]",99.98,99.98,
0,1352,7,16,"[8.82, 0.0]",8.82,99.98,
0,1352,8,18,"[19.99, 19.13]",19.99,99.98,
0,1352,9,20,"[98.38, 52.47]",98.38,99.98,
0,1353,0,2,"[0.0, 77.01]",77.01,77.01,
0,1353,1,4,"[2.78, 13.33]",13.33,77.01,
0,1353,2,6,"[7.54, 15.36]",15.36,77.01,
0,1353,3,8,"[20.72, 70.8]",70.8,77.01,
0,1353,4,10,"[48.34, 61.67]",61.67,77.01,
0,1353,5,12,"[78.6, 6.23]",78.6,78.6,
0,1353,6,14,"[25.77, 33.95]",33.95,78.6,
0,1353,7,16,"[0.0, 66.03]",66.03,78.6,
0,1353,8,18,"[38.79, 68.31]",68.31,78.6,
0,1353,9,20,"[62.15, 44.28]",62.15,78.6,
0,1354,0,2,"[0.0, 2.66]",2.66,2.66,
0,1354,1,4,"[36.97, 49.48]",49.48,49.48,
0,1354,2,6,"[31.66, 13.79]",31.66,49.48,
0,1354,3,8,"[13.88, 13.12]",13.88,49.48,
0,1354,4,10,"[36.73, 18.95]",36.73,49.48,
0,1354,5,12,"[99.81, 44.4]",99.81,99.81,
0,1354,6,14,"[98.38, 45.01]",98.38,99.81,
0,1354,7,16,"[28.9, 99.22]",99.22,99.81,
0,1354,8,18,"[92.19, 45.73]",92.19,99.81,
0,1354,9,20,"[0.0, 80.86]",80.86,99.81,
0,1355,0,2,"[45.37, 36.73]",45.37,45.37,
0,1355,1,4,"[11.91, 7.88]",11.91,45.37,
0,1355,2,6,"[44.4, 0.0]",44.4,45.37,
0,1355,3,8,"[5.7, 54.55]",54.55,54.55,
0,1355,4,10,"[0.0, 0.0]",0.0,54.55,
0,1355,5,12,"[7.54, 13.79]",13.79,54.55,
0,1355,6,14,"[12.07, 14.29]",14.29,54.55,
0,1355,7,16,"[0.0, 20.67]",20.67,54.55,
0,1355,8,18,"[99.98, 25.64]",99.98,99.98,
0,1355,9,20,"[52.47, 62.33]",62.33,99.98,
0,1356,0,2,"[82.21, 0.0]",82.21,82.21,
0,1356,1,4,"[0.0, 13.33]",13.33,82.21,
0,1356,2,6,"[5.95, 10.04]",10.04,82.21,
0,1356,3,8,"[59.05, 28.36]",59.05,82.21,
0,1356,4,10,"[0.0, 21.5]",21.5,82.21,
0,1356,5,12,"[8.82, 3.38]",8.82,82.21,
0,1356,6,14,"[28.53, 27.79]",28.53,82.21,
0,1356,7,16,"[19.13, 0.0]",19.13,82.21,
0,1356,8,18,"[11.24, 68.31]",68.31,82.21,
0,1356,9,20,"[71.43, 78.44]",78.44,82.21,
0,1357,0,2,"[69.2, 2.15]",69.2,69.2,
0,1357,1,4,"[68.17, 9.96]",68.17,69.2,
0,1357,2,6,"[0.0, 10.04]",10.04,69.2,
0,1357,3,8,"[98.38, 49.48]",98.38,98.38,
0,1357,4,10,"[84.03, 60.29]",84.03,98.38,
0,1357,5,12,"[28.9, 99.81]",99.81,99.81,
0,1357,6,14,"[92.19, 26.69]",92.19,99.81,
0,1357,7,16,"[0.89, 45.01]",45.01,99.81,
0,1357,8,18,"[99.22, 19.13]",99.22,99.81,
0,1357,9,20,"[39.57, 80.86]",80.86,99.81,
0,1358,0,2,"[91.19, 0.0]",91.19,91.19,
0,1358,1,4,"[36.97, 3.04]",36.97,91.19,
0,1358,2,6,"[18.61, 16.83]",18.61,91.19,
0,1358,3,8,"[8.61, 13.34]",13.34,91.19,
0,1358,4,10,"[92.19, 99.98]",99.98,99.98,
0,1358,5,12,"[99.22, 71.81]",99.22,99.98,
0,1358,6,14,"[98.38, 43.84]",98.38,99.98,
0,1358,7,16,"[99.81, 80.86]",99.81,99.98,
0,1358,8,18,"[2.78, 7.43]",7.43,99.98,
0,1358,9,20,"[60.29, 44.47]",60.29,99.98,
0,1359,0,2,"[8.2, 7.5]",8.2,8.2,
0,1359,1,4,"[16.91, 0.0]",16.91,16.91,
0,1359,2,6,"[20.72, 44.4]",44.4,44.4,
0,1359,3,8,"[5.7, 49.48]",49.48,49.48,
0,1359,4,10,"[68.17, 71.81]",71.81,71.81,
0,1359,5,12,"[92.19, 19.13]",92.19,92.19,
0,1359,6,14,"[9.96, 84.03]",84.03,92.19,
0,1359,7,16,"[99.81, 99.22]",99.81,99.81,
0,1359,8,18,"[28.9, 98.38]",98.38,99.81,
0,1359,9,20,"[13.88, 26.69]",26.69,99.81,
0,1360,0,2,"[0.0, 18.95]",18.95,18.95,
0,1360,1,4,"[36.32, 0.0]",36.32,36.32,
0,1360,2,6,"[5.65, 5.7]",5.7,36.32,
0,1360,3,8,"[8.95, 6.73]",8.95,36.32,
0,1360,4,10,"[69.03, 16.91]",69.03,69.03,
0,1360,5,12,"[77.01, 20.6]",77.01,77.01,
0,1360,6,14,"[78.6, 0.0]",78.6,78.6,
0,1360,7,16,"[32.5, 70.8]",70.8,78.6,
0,1360,8,18,"[78.44, 1.12]",78.44,78.6,
0,1360,9,20,"[71.43, 68.31]",71.43,78.6,
0,1361,0,2,"[20.51, 0.0]",20.51,20.51,
0,1361,1,4,"[36.97, 23.8]",36.97,36.97,
0,1361,2,6,"[98.38, 9.32]",98.38,98.38,
0,1361,3,8,"[2.78, 52.47]",52.47,98.38,
0,1361,4,10,"[61.09, 92.19]",92.19,98.38,
0,1361,5,12,"[99.22, 13.88]",99.22,99.22,
0,1361,6,14,"[32.21, 91.19]",91.19,99.22,
0,1361,7,16,"[99.98, 60.29]",99.98,99.98,
0,1361,8,18,"[100.0, 71.81]",100.0,100.0,
0,1361,9,20,"[74.3, 43.84]",74.3,100.0,
0,1362,0,2,"[50.69, 0.0]",50.69,50.69,
0,1362,1,4,"[30.17, 6.73]",30.17,50.69,
0,1362,2,6,"[71.81, 0.0]",71.81,71.81,
0,1362,3,8,"[19.99, 19.13]",19.99,71.81,
0,1362,4,10,"[7.54, 13.79]",13.79,71.81,
0,1362,5,12,"[99.22, 25.64]",99.22,99.22,
0,1362,6,14,"[98.38, 92.19]",98.38,99.22,
0,1362,7,16,"[99.81, 7.43]",99.81,99.81,
0,1362,8,18,"[52.08, 78.93]",78.93,99.81,
0,1362,9,20,"[98.49, 0.0]",98.49,99.81,
0,1363,0,2,"[34.53, 0.74]",34.53,34.53,
0,1363,1,4,"[0.0, 14.29]",14.29,34.53,
0,1363,2,6,"[0.0, 3.38]",3.38,34.53,
0,1363,3,8,"[10.13, 25.64]",25.64,34.53,
0,1363,4,10,"[30.17, 31.43]",31.43,34.53,
0,1363,5,12,"[49.48, 53.61]",53.61,53.61,
0,1363,6,14,"[71.81, 2.81]",71.81,71.81,
0,1363,7,16,"[99.98, 26.69]",99.98,99.98,
0,1363,8,18,"[7.65, 80.86]",80.86,99.98,
0,1363,9,20,"[99.22, 63.2]",99.22,99.98,
0,1364,0,2,"[53.02, 10.25]",53.02,53.02,
0,1364,1,4,"[20.51, 0.0]",20.51,53.02,
0,1364,2,6,"[13.12, 60.29]",60.29,60.29,
0,1364,3,8,"[99.98, 8.61]",99.98,99.98,
0,1364,4,10,"[19.99, 71.81]",71.81,99.98,
0,1364,5,12,"[92.19, 0.0]",92.19,99.98,
0,1364,6,14,"[26.69, 19.13]",26.69,99.98,
0,1364,7,16,"[99.22, 68.17]",99.22,99.98,
0,1364,8,18,"[98.38, 39.57]",98.38,99.98,
0,1364,9,20,"[99.81, 100.0]",100.0,100.0,
0,1365,0,2,"[0.0, 66.27]",66.27,66.27,
0,1365,1,4,"[5.7, 7.88]",7.88,66.27,
0,1365,2,6,"[37.38, 0.0]",37.38,66.27,
0,1365,3,8,"[4.86, 5.38]",5.38,66.27,
0,1365,4,10,"[11.91, 0.97]",11.91,66.27,
0,1365,5,12,"[0.0, 74.3]",74.3,74.3,
0,1365,6,14,"[24.55, 68.17]",68.17,74.3,
0,1365,7,16,"[78.93, 99.22]",99.22,99.22,
0,1365,8,18,"[98.38, 92.19]",98.38,99.22,
0,1365,9,20,"[99.81, 99.98]",99.98,99.98,
0,1366,0,2,"[21.86, 30.17]",30.17,30.17,
0,1366,1,4,"[0.0, 0.83]",0.83,30.17,
0,1366,2,6,"[80.86, 25.64]",80.86,80.86,
0,1366,3,8,"[36.73, 52.47]",52.47,80.86,
0,1366,4,10,"[7.65, 60.29]",60.29,80.86,
0,1366,5,12,"[98.38, 19.99]",98.38,98.38,
0,1366,6,14,"[99.81, 92.19]",99.81,99.81,
0,1366,7,16,"[99.22, 5.65]",99.22,99.81,
0,1366,8,18,"[5.95, 52.08]",52.08,99.81,
0,1366,9,20,"[98.49, 80.65]",98.49,99.81,
0,1367,0,2,"[0.0, 0.0]",0.0,0.0,
0,1367,1,4,"[10.13, 3.18]",10.13,10.13,
0,1367,2,6,"[36.97, 68.17]",68.17,68.17,
0,1367,3,8,"[92.19, 49.48]",92.19,92.19,
0,1367,4,10,"[9.96, 84.03]",84.03,92.19,
0,1367,5,12,"[99.81, 19.13]",99.81,99.81,
0,1367,6,14,"[98.38, 0.0]",98.38,99.81,
0,1367,7,16,"[99.22, 80.86]",99.22,99.81,
0,1367,8,18,"[28.9, 52.47]",52.47,99.81,
0,1367,9,20,"[13.88, 71.81]",71.81,99.81,
0,1368,0,2,"[76.59, 4.26]",76.59,76.59,
0,1368,1,4,"[0.41, 24.05]",24.05,76.59,
0,1368,2,6,"[5.65, 52.47]",52.47,76.59,
0,1368,3,8,"[0.0, 3.68]",3.68,76.59,
0,1368,4,10,"[52.08, 60.29]",60.29,76.59,
0,1368,5,12,"[98.38, 18.89]",98.38,98.38,
0,1368,6,14,"[99.81, 99.22]",99.81,99.81,
0,1368,7,16,"[28.9, 92.19]",92.19,99.81,
0,1368,8,18,"[2.78, 71.81]",71.81,99.81,
0,1368,9,20,"[80.86, 49.48]",80.86,99.81,
0,1369,0,2,"[20.31, 26.48]",26.48,26.48,
0,1369,1,4,"[11.91, 44.4]",44.4,44.4,
0,1369,2,6,"[16.91, 14.29]",16.91,44.4,
0,1369,3,8,"[5.7, 0.0]",5.7,44.4,
0,1369,4,10,"[0.0, 18.93]",18.93,44.4,
0,1369,5,12,"[6.48, 2.81]",6.48,44.4,
0,1369,6,14,"[80.65, 0.0]",80.65,80.65,
0,1369,7,16,"[80.86, 71.81]",80.86,80.86,
0,1369,8,18,"[9.61, 99.98]",99.98,99.98,
0,1369,9,20,"[99.22, 91.19]",99.22,99.98,
0,1370,0,2,"[3.79, 0.0]",3.79,3.79,
0,1370,1,4,"[5.65, 18.95]",18.95,18.95,
0,1370,2,6,"[21.09, 0.0]",21.09,21.09,
0,1370,3,8,"[49.48, 10.04]",49.48,49.48,
0,1370,4,10,"[53.11, 30.17]",53.11,53.11,
0,1370,5,12,"[52.2, 80.65]",80.65,80.65,
0,1370,6,14,"[52.23, 71.81]",71.81,80.65,
0,1370,7,16,"[99.81, 9.61]",99.81,99.81,
0,1370,8,18,"[98.38, 92.19]",98.38,99.81,
0,1370,9,20,"[99.22, 44.47]",99.22,99.81,
0,1371,0,2,"[61.67, 20.67]",61.67,61.67,
0,1371,1,4,"[13.88, 27.41]",27.41,61.67,
0,1371,2,6,"[0.0, 11.99]",11.99,61.67,
0,1371,3,8,"[32.5, 26.29]",32.5,61.67,
0,1371,4,10,"[8.61, 6.73]",8.61,61.67,
